#{"t_start": 1754990797.7947614, "env_id": "None"}
r,l,t
-1767.4667,3,2.39458
-1552.2362,4,2.399587
-812.90125,4,2.418627
-701.86615,16,2.457709
-227.28137,28,2.514468
-490.90152,10,2.553585
-318.57648,39,2.558591
44.06543,37,2.624239
-358.2105,58,2.64729
859.2212,60,2.65831
270.02628,60,2.65831
994.24493,60,2.670329
912.4376,60,2.690872
-492.7476,18,2.736559
1305.704,60,2.831274
918.49915,60,2.83529
-435.177,41,2.845308
-3208.2275,8,2.87537
832.49603,60,2.9014
-693.1333,35,2.9014
1076.8441,60,2.925538
1374.172,60,2.951583
-801.1393,20,2.972634
412.67816,60,2.97765
578.90186,60,3.114634
752.846,60,3.127655
-846.20575,3,3.127655
-621.7256,41,3.166725
1394.8112,60,3.187283
1185.1318,60,3.187283
786.7429,60,3.211342
1799.0222,60,3.233432
617.1953,60,3.249482
677.56433,60,3.414303
771.9325,60,3.414303
583.51245,60,3.455431
891.1976,60,3.478492
657.88,60,3.478492
613.1323,60,3.502545
1430.3154,60,3.527608
286.98215,60,3.549656
-824.4384,16,3.560671
-2090.6353,8,3.570694
-1565.0055,17,3.592753
-1093.1741,4,3.592753
-1923.5673,3,3.607298
874.6875,60,3.724465
397.68536,60,3.724465
279.44006,40,3.756226
360.42517,60,3.768245
-316.8673,59,3.783786
-1803.8118,16,3.811829
-1871.436,19,3.867549
1179.0312,60,3.873559
994.6196,60,3.900147
-1115.605,20,3.914179
577.88385,60,3.919184
-1867.0828,10,3.92521
-918.41724,11,3.92521
-2171.257,6,3.949262
-689.52527,10,3.974752
-1176.0037,25,4.020455
443.6102,60,4.025482
672.6274,60,4.053036
895.97577,60,4.076612
-764.6419,14,4.089141
-1921.3271,15,4.090141
1069.4504,60,4.193396
-1447.0403,2,4.201401
1869.9879,60,4.201401
607.0992,60,4.22755
502.68912,60,4.251584
-412.59393,18,4.287202
1416.3379,60,4.329313
677.63684,60,4.355448
660.4855,60,4.371467
2168.8071,60,4.371467
-2451.9658,9,4.399073
-600.6444,16,4.410088
408.82968,60,4.485238
1564.8853,60,4.509301
-479.53253,60,4.531342
687.51154,60,4.568526
-1322.8306,14,4.574537
-309.38184,44,4.578535
-1179.187,5,4.591079
-802.46826,4,4.597105
-966.4933,10,4.638205
63.339195,60,4.652724
1044.9729,60,4.682274
560.3085,60,4.691299
-1358.9303,9,4.698321
-3634.8555,15,4.712851
-1911.9092,12,4.755487
352.43393,60,4.768514
-1323.6882,5,4.778528
672.8626,60,4.8166
337.84003,60,4.858679
-36.366203,60,4.881709
-486.14807,35,4.933816
1031.8761,60,4.964883
-2368.5688,8,4.969883
391.5395,60,4.975401
-214.01819,44,4.983429
-48.279556,60,4.991435
-857.50653,9,5.006505
-1323.9558,8,5.015527
-2441.6772,7,5.043589
-1059.3213,14,5.053609
-775.1723,9,5.084767
728.8456,60,5.097783
1177.4401,60,5.143882
1146.063,60,5.168444
-1049.4208,44,5.221563
2186.7786,60,5.255653
-3156.9626,3,5.271674
-787.15497,28,5.276704
428.80023,60,5.281704
-1436.415,8,5.316771
-1029.3816,1,5.321773
959.77686,60,5.336811
-791.927,20,5.367866
933.7995,60,5.372866
-2301.8306,9,5.384258
644.09924,60,5.387925
-1257.3208,6,5.410473
-1221.3634,3,5.423516
-1310.0723,16,5.443053
778.563,60,5.453573
672.9429,60,5.50922
1121.1173,60,5.566234
783.72424,60,5.611341
-523.0789,35,5.621368
1717.4702,60,5.659551
381.82507,52,5.675588
1275.2332,60,5.675588
-1793.6194,7,5.693645
446.07095,60,5.733757
-1982.642,16,5.750292
-1955.3916,13,5.755318
-585.4808,22,5.779371
1278.1138,60,5.796417
-618.162,45,5.835551
1293.3396,60,5.84857
-579.4564,24,5.866619
1345.5056,60,5.897189
-1790.7386,8,5.907207
-1581.8894,3,5.921227
-629.5902,35,5.948299
-578.9245,18,6.007401
61.90541,60,6.017436
446.15372,60,6.037503
1305.2267,60,6.086157
168.01967,60,6.125254
688.94025,60,6.137278
-2299.3865,6,6.16535
1030.3291,60,6.181365
-1952.0784,4,6.199411
-580.29224,41,6.209437
-2376.307,10,6.209437
885.2698,60,6.230523
-1404.495,18,6.287143
1109.0625,60,6.29265
-1108.6881,18,6.29817
-893.9431,14,6.29817
525.9565,60,6.320217
-2075.6848,16,6.361309
1023.2965,60,6.36633
550.2216,55,6.379362
-1158.5859,10,6.420467
-326.90497,30,6.430503
1315.1294,60,6.490109
-632.39417,43,6.51817
727.53046,60,6.57026
1002.5431,60,6.575282
998.3101,60,6.641436
439.72583,60,6.647469
-1059.7991,20,6.670552
1696.5869,60,6.707161
447.70114,60,6.716189
810.22534,60,6.77031
808.9865,60,6.796864
340.8014,60,6.84748
-902.40295,34,6.861505
-165.48134,60,6.921161
935.4237,60,6.928195
-897.7046,1,6.934212
-818.14075,2,6.945232
414.4091,60,6.953743
-773.68823,23,6.97529
-441.73514,45,6.984681
977.2174,60,7.000833
-501.3877,32,7.004846
-1130.5934,7,7.019871
-1774.5142,17,7.034419
-700.9592,22,7.08059
552.5354,60,7.086599
-1579.5382,1,7.091109
-510.10178,23,7.146257
-444.6823,35,7.187856
-133.01404,54,7.201891
771.36127,60,7.214434
-1031.9196,29,7.285607
567.0775,60,7.290119
613.627,60,7.295142
1361.8563,60,7.371275
363.9218,60,7.381302
-1191.4098,26,7.420888
-546.6447,49,7.441434
-1616.9609,21,7.479043
1875.9995,60,7.484062
-1368.1112,3,7.494586
510.5219,60,7.507603
-2028.1055,6,7.538659
-1014.3859,17,7.568725
374.03293,60,7.58478
448.01785,60,7.591297
-820.7117,4,7.606354
519.18787,41,7.644478
-136.83528,60,7.678545
702.22925,60,7.712642
669.68176,60,7.780306
563.92035,60,7.822897
551.19745,60,7.854571
-373.9845,46,7.865589
304.0716,60,7.878602
1236.7775,60,7.893785
-652.8922,51,7.927857
-1913.8131,11,7.932858
-336.07928,25,7.951392
-260.542,35,7.958436
-717.532,20,7.958436
-1490.7307,15,8.005147
340.92313,60,8.011143
-489.12796,42,8.134549
-2338.0366,2,8.14356
494.26367,60,8.245308
-470.83893,60,8.280409
-762.8566,2,8.291967
936.5459,60,8.304506
605.88086,60,8.310511
586.7472,60,8.310511
811.6267,60,8.356606
1405.9612,60,8.362609
-2120.2036,13,8.368637
-837.73944,23,8.42026
-891.84875,2,8.430298
1154.2084,60,8.435313
-723.4043,40,8.441313
-669.4004,32,8.467384
-986.09973,13,8.507086
468.3457,41,8.561224
-1530.3552,1,8.565257
1076.2394,60,8.586304
-264.06195,45,8.586304
-711.9003,13,8.628412
589.2707,60,8.661501
-665.4009,15,8.703727
295.95972,60,8.726298
-244.8065,60,8.731298
310.08844,60,8.760443
-2725.0889,3,8.778521
-1781.98,10,8.783596
671.54816,60,8.803616
1907.9061,60,8.883672
1023.90485,60,8.883672
-774.8034,20,8.903813
-1134.6509,10,8.95048
2094.0312,60,8.959513
-652.5973,53,8.964525
594.445,60,9.01913
-213.84091,60,9.067281
589.7862,60,9.072789
1523.5637,60,9.167565
395.64044,60,9.167565
-1180.2031,1,9.171564
705.0265,60,9.230227
610.0945,60,9.240247
820.55133,60,9.245275
-948.97107,9,9.275337
899.84357,60,9.303396
-38.32959,57,9.338548
620.1064,60,9.347572
-947.1567,6,9.377636
759.5968,60,9.441345
1017.95856,60,9.446366
1358.7324,60,9.520263
986.7782,60,9.525293
759.9325,60,9.556369
344.85928,60,9.583479
-765.7217,7,9.616565
883.3382,60,9.622564
1306.2451,60,9.656643
1675.0889,60,9.728606
1556.0029,60,9.733114
-1516.2201,1,9.738629
-1491.0549,3,9.743641
1218.2017,60,9.807781
1058.038,60,9.812779
822.168,60,9.840842
891.52985,60,9.905563
-2438.706,19,9.906562
1505.1982,60,9.947668
-1945.8059,4,9.974735
-1448.997,5,9.985768
-80.31654,60,10.004857
-767.5048,12,10.023387
-766.26385,9,10.0284
-2095.0105,6,10.051467
769.22955,60,10.082549
1170.7634,60,10.088567
-1234.4501,1,10.097588
-870.4766,7,10.120632
875.14935,60,10.155724
1139.4208,60,10.17977
-256.19867,53,10.226805
-1498.3445,5,10.249848
-547.0109,34,10.274657
-1109.2219,21,10.279656
-158.76675,60,10.284674
-652.06055,32,10.297221
697.5188,60,10.306238
311.52594,60,10.325286
-869.14886,21,10.343832
-1320.7063,8,10.362878
-472.14642,60,10.367406
-388.3719,20,10.384456
-1020.3752,6,10.38946
-1379.2493,9,10.430545
-316.02777,38,10.509229
1552.7299,60,10.537294
718.45,60,10.541296
744.69586,60,10.545318
-11.077637,39,10.554712
-175.40991,60,10.569373
-946.47394,6,10.599002
-2538.7344,4,10.613024
-725.9185,42,10.613024
-1374.6257,15,10.621535
440.1864,60,10.632561
-403.62064,30,10.673654
-476.6586,18,10.706244
-332.26987,42,10.731291
760.7584,60,10.783461
-1170.5996,18,10.819081
502.0576,60,10.822652
-770.88824,49,10.840128
-482.6552,47,10.850141
-2916.9329,10,10.869176
-1969.4727,7,10.886222
405.61734,60,10.898096
-277.98956,47,10.930168
-836.302,12,10.95272
-205.59476,60,10.957242
-686.63904,33,11.021319
-1512.1973,17,11.035377
-274.97076,56,11.04847
-432.52765,33,11.08256
-546.78595,60,11.105659
571.9373,60,11.126704
1003.80457,60,11.167783
-1041.6068,9,11.167783
-1830.9088,17,11.184832
-141.69415,53,11.200366
-1439.5272,11,11.216507
-904.40857,41,11.226554
1137.9348,60,11.29608
954.007,60,11.326163
833.88416,60,11.359234
-444.2119,37,11.37025
1902.5385,60,11.446432
-1267.6711,2,11.45748
636.5316,60,11.467513
-981.10736,60,11.499163
800.17303,60,11.508194
-643.12585,39,11.511192
-672.76306,18,11.541267
817.43005,60,11.582748
-757.943,11,11.636307
-2127.6794,2,11.645338
780.3093,60,11.645338
569.49243,60,11.654705
-497.7032,30,11.654705
-2954.691,2,11.664401
-1304.7678,38,11.679438
-1700.1681,14,11.713027
-196.06183,60,11.751571
425.81412,60,11.794689
745.4504,60,11.828799
-486.02707,33,11.838812
1636.6184,60,11.930528
-594.2751,60,11.939539
551.6253,60,11.950562
640.51697,60,11.995664
-1506.3804,6,12.021228
1149.8783,60,12.03025
528.7749,60,12.074337
-2971.9429,14,12.085365
-26.297401,60,12.104259
1755.032,60,12.113438
-2443.2588,5,12.12947
-1029.9357,13,12.191623
734.56805,60,12.211159
-35.62716,60,12.221184
1009.1785,60,12.230216
-1279.7756,3,14.199034
-3366.6172,13,14.259652
579.2318,60,14.272669
1106.1289,60,14.313479
856.5448,60,14.328532
-1319.7406,6,14.356595
684.6356,60,14.356595
-521.7916,27,14.40522
552.34937,48,14.41022
220.34837,60,14.443415
1786.3372,60,14.461464
-948.6646,2,14.470499
-2468.9438,8,14.480523
-571.7478,34,14.486553
-484.72244,38,14.553794
798.8212,60,14.563823
660.77673,60,14.667613
1353.6611,60,14.709189
518.7097,60,14.717205
1652.8064,60,14.776382
-522.9264,24,14.786418
1902.66,60,14.786418
1974.3873,60,14.792924
-885.3536,2,14.797962
1777.4701,60,14.862613
1321.7435,60,14.874654
-268.4126,54,14.98646
1978.5172,60,15.021545
-804.9766,7,15.021545
1044.9336,60,15.077662
944.35736,60,15.089681
1728.8092,60,15.096696
679.6886,60,15.10121
-820.2681,5,15.10823
-1171.1716,6,15.1343
197.11914,60,15.168406
759.7493,60,15.178442
649.3934,60,15.330389
487.24557,60,15.330389
2392.7224,60,15.404121
1899.4098,60,15.411127
-1329.4476,1,15.41715
888.84186,60,15.424166
1077.7993,60,15.450221
-966.62286,11,15.476277
384.1314,60,15.481277
711.2842,60,15.496323
-2446.7659,15,15.532914
-1416.4142,18,15.575583
-1361.2183,10,15.629199
606.9551,60,15.652849
613.8058,60,15.654285
-3503.5767,7,15.687369
-931.40375,18,15.727495
2234.5938,60,15.727495
1036.5681,60,15.743012
-1654.3436,9,15.789618
799.89575,60,15.796635
927.47406,60,15.811168
-759.3268,7,15.836238
960.3963,60,15.851261
-598.8918,30,15.889377
-1887.162,6,15.918462
1853.979,60,15.970556
455.08957,60,16.009161
551.72986,60,16.048275
-1353.19,53,16.073417
-1186.7135,13,16.079425
1203.1194,60,16.131081
978.1301,60,16.151123
1880.5144,60,16.168161
-1195.33,2,16.174176
-993.2499,11,16.180182
-2440.9841,7,16.217802
1525.1119,60,16.227815
1024.0032,60,16.27941
-786.1282,12,16.290445
1487.6199,60,16.351225
1083.6638,60,16.380296
-279.06372,60,16.385318
-1552.4319,20,16.39474
-2787.4648,15,16.431465
1279.7511,60,16.458603
2129.685,60,16.487668
-858.11523,15,16.51277
903.04987,60,16.535361
-1515.549,15,16.541362
-5239.8496,6,16.547391
-4522.751,6,16.577574
-1853.9167,18,16.583587
-921.25183,2,16.597613
805.1257,60,16.603645
197.90613,42,16.609153
-2043.4277,2,16.609153
-2508.3052,6,16.640236
-812.69147,3,16.654714
-978.69147,14,16.676348
1881.5992,60,16.700966
1403.2211,60,16.715512
-1753.921,8,16.721509
-704.05896,39,16.748588
-512.0965,14,16.786689
-1583.4574,5,16.808271
1220.9602,60,16.846384
144.43,55,16.879488
863.15784,60,16.883511
-2359.853,4,16.899547
-599.6575,16,16.928143
-2460.6921,5,16.954222
1636.6432,60,16.960229
-1673.8933,3,16.978276
50.57434,53,16.978276
-631.65045,38,17.007348
572.09955,60,17.026511
510.7049,60,17.056558
-631.12054,34,17.08464
-2004.8737,9,17.130282
-290.84668,48,17.145337
-890.9667,20,17.166398
-95.17761,38,17.183468
-17.404419,44,17.196528
-2292.111,2,17.208089
-1116.7805,14,17.21411
-690.5344,15,17.246211
1144.6644,60,17.301856
1182.7904,60,17.332936
550.64154,60,17.35299
-2238.1226,5,17.358509
-1099.1024,1,17.365527
860.1962,60,17.453765
1183.436,60,17.488355
980.44257,60,17.505477
1911.9082,60,17.511477
-359.8985,38,17.53958
1338.0095,60,17.550604
334.4927,60,17.608283
1333.4537,60,17.671558
-392.56177,21,17.71974
16.181458,42,17.76885
906.86975,60,17.774868
-884.7905,3,17.785389
1999.4314,60,17.815497
905.5781,60,17.834551
1704.9445,60,17.83956
-4556.7485,8,17.856615
228.57158,60,17.87566
-701.4064,20,17.941433
1729.8586,60,17.996584
-397.83957,48,18.036175
373.15686,60,18.048207
-4117.966,4,18.058238
461.77625,60,18.112912
-921.0316,1,18.116449
737.849,60,18.16156
253.69997,60,18.178614
907.8426,60,18.200652
-167.95789,46,18.241286
1478.589,60,18.266434
-308.02594,32,18.287525
1163.8237,60,18.367253
415.14127,60,18.3793
-440.82034,39,18.390345
313.34595,60,18.478652
473.92722,60,18.514413
-364.29684,49,18.520421
778.7368,60,18.558547
-712.0536,17,18.569567
865.67303,60,18.603652
-1124.1565,11,18.664335
133.2031,60,18.684405
538.93976,60,18.699441
499.1211,60,18.711041
-1189.1888,12,18.735138
-480.2321,39,18.735138
-620.1322,29,18.735138
-2112.1536,4,18.757206
-2309.1523,7,18.792802
-539.30945,18,18.827896
2097.8591,60,18.85053
-32.054382,59,18.882599
-471.46558,44,18.965353
-205.13788,52,18.988463
54.45466,60,19.008532
1084.34,60,19.019556
-1911.9149,10,19.074232
83.684814,49,19.090261
529.3246,60,19.111813
-1401.6149,8,19.137869
-1230.3212,29,19.203649
-715.5851,34,19.222697
615.6222,60,19.222697
2005.9525,60,19.260307
-1350.0128,29,19.281357
-322.74915,51,19.293431
-662.5012,16,19.368627
364.86392,60,19.485487
1030.4678,60,19.509191
719.8915,60,19.541288
935.92883,60,19.549058
2005.2024,60,19.549058
-802.8399,6,19.581236
838.4623,60,19.588267
252.5055,60,19.63143
-1946.0989,16,19.684717
-283.91626,21,19.684717
-1812.7095,3,19.706306
1507.0181,60,19.726468
-1083.5115,1,19.734517
-214.98962,46,19.798679
-725.3926,19,19.805227
-1055.5583,15,19.821252
782.3566,60,19.854404
-675.2148,10,19.87749
-990.4226,10,19.912701
1076.9314,60,19.91814
-1449.709,2,19.928164
764.2224,60,19.951246
563.0107,60,19.990369
-741.2012,8,19.996413
-759.9449,17,20.008473
108.56817,60,20.057671
521.74536,60,20.141893
1222.9862,60,20.14842
962.4441,60,20.220178
1273.1359,60,20.274405
716.1233,60,20.333065
1353.3654,60,20.338574
573.0845,60,20.352586
164.91867,60,20.396704
-1671.0957,18,20.434316
738.7842,60,20.476542
707.6813,60,20.482549
